[2025-09-20T19:04:36.579+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:04:36.610+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.630+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.632+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 3
[2025-09-20T19:08:58.097+0000] {01_Bronce.py:223} INFO - Processing chunk 38 with 15000 rows
[2025-09-20T19:09:01.652+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 570,000
[2025-09-20T19:09:01.998+0000] {01_Bronce.py:223} INFO - Processing chunk 39 with 15000 rows
[2025-09-20T19:09:05.913+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 585,000
[2025-09-20T19:09:06.215+0000] {01_Bronce.py:223} INFO - Processing chunk 40 with 15000 rows
[2025-09-20T19:09:09.811+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 600,000
[2025-09-20T19:09:10.079+0000] {01_Bronce.py:223} INFO - Processing chunk 41 with 15000 rows
[2025-09-20T19:09:13.711+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 615,000
[2025-09-20T19:09:13.998+0000] {01_Bronce.py:223} INFO - Processing chunk 42 with 15000 rows
[2025-09-20T19:09:17.582+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 630,000
[2025-09-20T19:09:17.827+0000] {01_Bronce.py:223} INFO - Processing chunk 43 with 15000 rows
[2025-09-20T19:09:21.925+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 645,000
[2025-09-20T19:09:22.260+0000] {01_Bronce.py:223} INFO - Processing chunk 44 with 15000 rows
[2025-09-20T19:09:26.387+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 660,000
[2025-09-20T19:09:26.663+0000] {01_Bronce.py:223} INFO - Processing chunk 45 with 15000 rows
[2025-09-20T19:09:34.146+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 675,000
[2025-09-20T19:09:34.417+0000] {01_Bronce.py:223} INFO - Processing chunk 46 with 15000 rows
[2025-09-20T19:09:38.023+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 690,000
[2025-09-20T19:09:38.379+0000] {01_Bronce.py:223} INFO - Processing chunk 47 with 15000 rows
[2025-09-20T19:09:42.060+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 705,000
[2025-09-20T19:09:42.430+0000] {01_Bronce.py:223} INFO - Processing chunk 48 with 15000 rows
[2025-09-20T19:09:46.225+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 720,000
[2025-09-20T19:09:46.542+0000] {01_Bronce.py:223} INFO - Processing chunk 49 with 15000 rows
[2025-09-20T19:09:49.945+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 735,000
[2025-09-20T19:09:50.173+0000] {01_Bronce.py:223} INFO - Processing chunk 50 with 15000 rows
[2025-09-20T19:09:53.572+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 750,000
[2025-09-20T19:09:53.834+0000] {01_Bronce.py:223} INFO - Processing chunk 51 with 15000 rows
[2025-09-20T19:09:57.443+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 765,000
[2025-09-20T19:09:57.720+0000] {01_Bronce.py:223} INFO - Processing chunk 52 with 15000 rows
[2025-09-20T19:10:01.425+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 780,000
