[2025-09-20T19:47:09.187+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.214+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.227+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:50:18.704+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 27 with 15000 rows
[2025-09-20T19:50:23.459+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 405,000
[2025-09-20T19:50:23.794+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 28 with 15000 rows
[2025-09-20T19:50:28.437+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 420,000
[2025-09-20T19:50:28.685+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 29 with 15000 rows
[2025-09-20T19:50:33.616+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 435,000
[2025-09-20T19:50:33.930+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 30 with 15000 rows
[2025-09-20T19:50:39.021+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 450,000
[2025-09-20T19:50:39.329+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 31 with 15000 rows
[2025-09-20T19:50:48.466+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 465,000
[2025-09-20T19:50:48.792+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 32 with 15000 rows
[2025-09-20T19:50:55.241+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 480,000
[2025-09-20T19:50:55.636+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 33 with 15000 rows
[2025-09-20T19:51:01.656+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 495,000
[2025-09-20T19:51:01.906+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 34 with 15000 rows
[2025-09-20T19:51:06.650+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 510,000
[2025-09-20T19:51:06.888+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 35 with 15000 rows
[2025-09-20T19:51:11.709+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 525,000
[2025-09-20T19:51:12.008+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 36 with 15000 rows
[2025-09-20T19:51:20.056+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 540,000
[2025-09-20T19:51:20.299+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 37 with 15000 rows
[2025-09-20T19:51:24.977+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 555,000
[2025-09-20T19:51:25.262+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 38 with 15000 rows
[2025-09-20T19:51:29.707+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 570,000
[2025-09-20T19:51:29.955+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 39 with 15000 rows
