[2025-09-20T19:47:09.180+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.211+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.225+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:51:29.525+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,625,000
[2025-09-20T19:51:29.747+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 66 with 25000 rows
[2025-09-20T19:51:32.369+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,650,000
[2025-09-20T19:51:32.650+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 67 with 25000 rows
[2025-09-20T19:51:35.689+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,675,000
[2025-09-20T19:51:35.953+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 68 with 25000 rows
[2025-09-20T19:51:38.527+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,700,000
[2025-09-20T19:51:38.735+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 69 with 25000 rows
[2025-09-20T19:51:41.360+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,725,000
[2025-09-20T19:51:41.599+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 70 with 25000 rows
[2025-09-20T19:51:44.337+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,750,000
[2025-09-20T19:51:44.552+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 71 with 25000 rows
[2025-09-20T19:51:47.255+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,775,000
[2025-09-20T19:51:47.468+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 72 with 25000 rows
[2025-09-20T19:51:50.228+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,800,000
[2025-09-20T19:51:50.489+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 73 with 25000 rows
